=== monotype round-robin: 18 teams, 153 pairs, 8 games/pair, 200ms search, 22 workers, 1224 total games ===
  [ 0] Dork Team
  [ 1] Totally Normal Team
  [ 2] Spooky Team
  [ 3] Supa Fitingu
  [ 4] I Believe In Fairies
  [ 5] Grounded Grounded Grounded
  [ 6] Ice Ice Baby
  [ 7] Heavy Metal
  [ 8] Stop Bugging Me
  [ 9] Electric Boogaloo
  [10] Fly Away Now
  [11] Toxic Team
  [12] Rock Hard
  [13] RuPauls Dragon Race
  [14] Soft and Wet
  [15] Your Ass is Grass
  [16] Brain Blast
  [17] Disco Inferno
  [61/1224] 40s
  [122/1224] 91s
  [183/1224] 137s
  [244/1224] 179s
  [305/1224] 227s
  [366/1224] 281s
  [427/1224] 325s
  [488/1224] 359s
  [549/1224] 397s
  [610/1224] 450s
  [671/1224] 518s
  [732/1224] 559s
  [793/1224] 612s
  [854/1224] 653s
  [915/1224] 702s
  [976/1224] 746s
  [1037/1224] 799s
  [1098/1224] 856s
  [1159/1224] 906s
  [1220/1224] 960s

Done in 965s

=== Per-pair results ===
               Dork Team vs Totally Normal Team   :   8W   0L   0D (100.0% for Dork Team, 8/8 decided)
             Spooky Team vs Electric Boogaloo     :   8W   0L   0D (100.0% for Spooky Team, 8/8 decided)
             Spooky Team vs Fly Away Now          :   3W   3L   2D ( 50.0% for Spooky Team, 6/8 decided)
             Spooky Team vs Toxic Team            :   3W   3L   2D ( 50.0% for Spooky Team, 6/8 decided)
             Spooky Team vs Rock Hard             :   3W   2L   3D ( 60.0% for Spooky Team, 5/8 decided)
             Spooky Team vs RuPauls Dragon Race   :   3W   5L   0D ( 37.5% for Spooky Team, 8/8 decided)
             Spooky Team vs Soft and Wet          :   0W   0L   8D (  0.0% for Spooky Team, 0/8 decided)
             Spooky Team vs Your Ass is Grass     :   8W   0L   0D (100.0% for Spooky Team, 8/8 decided)
             Spooky Team vs Brain Blast           :   5W   1L   2D ( 83.3% for Spooky Team, 6/8 decided)
             Spooky Team vs Disco Inferno         :   8W   0L   0D (100.0% for Spooky Team, 8/8 decided)
            Supa Fitingu vs I Believe In Fairies  :   2W   6L   0D ( 25.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Grounded Grounded Gro…:   3W   5L   0D ( 37.5% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Ice Ice Baby          :   5W   1L   2D ( 83.3% for Supa Fitingu, 6/8 decided)
            Supa Fitingu vs Heavy Metal           :   6W   0L   2D (100.0% for Supa Fitingu, 6/8 decided)
            Supa Fitingu vs Stop Bugging Me       :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Electric Boogaloo     :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Fly Away Now          :   6W   1L   1D ( 85.7% for Supa Fitingu, 7/8 decided)
            Supa Fitingu vs Toxic Team            :   5W   3L   0D ( 62.5% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Rock Hard             :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs RuPauls Dragon Race   :   0W   6L   2D (  0.0% for Supa Fitingu, 6/8 decided)
            Supa Fitingu vs Soft and Wet          :   0W   0L   8D (  0.0% for Supa Fitingu, 0/8 decided)
            Supa Fitingu vs Your Ass is Grass     :   6W   2L   0D ( 75.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Brain Blast           :   8W   0L   0D (100.0% for Supa Fitingu, 8/8 decided)
            Supa Fitingu vs Disco Inferno         :   0W   8L   0D (  0.0% for Supa Fitingu, 8/8 decided)
    I Believe In Fairies vs Grounded Grounded Gro…:   7W   1L   0D ( 87.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Ice Ice Baby          :   8W   0L   0D (100.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Heavy Metal           :   1W   7L   0D ( 12.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Stop Bugging Me       :   5W   3L   0D ( 62.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Electric Boogaloo     :   2W   6L   0D ( 25.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Fly Away Now          :   0W   0L   8D (  0.0% for I Believe In Fairies, 0/8 decided)
    I Believe In Fairies vs Toxic Team            :   5W   3L   0D ( 62.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Rock Hard             :   8W   0L   0D (100.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs RuPauls Dragon Race   :   0W   7L   1D (  0.0% for I Believe In Fairies, 7/8 decided)
    I Believe In Fairies vs Soft and Wet          :   0W   5L   3D (  0.0% for I Believe In Fairies, 5/8 decided)
    I Believe In Fairies vs Your Ass is Grass     :   5W   3L   0D ( 62.5% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Brain Blast           :   6W   2L   0D ( 75.0% for I Believe In Fairies, 8/8 decided)
    I Believe In Fairies vs Disco Inferno         :   0W   8L   0D (  0.0% for I Believe In Fairies, 8/8 decided)
  Grounded Grounded Gro… vs Ice Ice Baby          :   5W   3L   0D ( 62.5% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Heavy Metal           :   2W   1L   5D ( 66.7% for Grounded Grounded Gro…, 3/8 decided)
  Grounded Grounded Gro… vs Stop Bugging Me       :   6W   2L   0D ( 75.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Electric Boogaloo     :   8W   0L   0D (100.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Fly Away Now          :   0W   2L   6D (  0.0% for Grounded Grounded Gro…, 2/8 decided)
  Grounded Grounded Gro… vs Toxic Team            :   3W   4L   1D ( 42.9% for Grounded Grounded Gro…, 7/8 decided)
  Grounded Grounded Gro… vs Rock Hard             :   2W   2L   4D ( 50.0% for Grounded Grounded Gro…, 4/8 decided)
  Grounded Grounded Gro… vs RuPauls Dragon Race   :   3W   3L   2D ( 50.0% for Grounded Grounded Gro…, 6/8 decided)
  Grounded Grounded Gro… vs Soft and Wet          :   1W   0L   7D (100.0% for Grounded Grounded Gro…, 1/8 decided)
  Grounded Grounded Gro… vs Your Ass is Grass     :   4W   4L   0D ( 50.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Brain Blast           :   0W   8L   0D (  0.0% for Grounded Grounded Gro…, 8/8 decided)
  Grounded Grounded Gro… vs Disco Inferno         :   8W   0L   0D (100.0% for Grounded Grounded Gro…, 8/8 decided)
            Ice Ice Baby vs Heavy Metal           :   0W   6L   2D (  0.0% for Ice Ice Baby, 6/8 decided)
            Ice Ice Baby vs Stop Bugging Me       :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Electric Boogaloo     :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Fly Away Now          :   8W   0L   0D (100.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Toxic Team            :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Rock Hard             :   0W   2L   6D (  0.0% for Ice Ice Baby, 2/8 decided)
            Ice Ice Baby vs RuPauls Dragon Race   :   1W   6L   1D ( 14.3% for Ice Ice Baby, 7/8 decided)
            Ice Ice Baby vs Soft and Wet          :   1W   3L   4D ( 25.0% for Ice Ice Baby, 4/8 decided)
            Ice Ice Baby vs Your Ass is Grass     :   4W   4L   0D ( 50.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Brain Blast           :   0W   8L   0D (  0.0% for Ice Ice Baby, 8/8 decided)
            Ice Ice Baby vs Disco Inferno         :   3W   3L   2D ( 50.0% for Ice Ice Baby, 6/8 decided)
             Heavy Metal vs Stop Bugging Me       :   7W   1L   0D ( 87.5% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Electric Boogaloo     :   8W   0L   0D (100.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Fly Away Now          :   4W   3L   1D ( 57.1% for Heavy Metal, 7/8 decided)
             Heavy Metal vs Toxic Team            :   7W   0L   1D (100.0% for Heavy Metal, 7/8 decided)
             Heavy Metal vs Rock Hard             :   8W   0L   0D (100.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs RuPauls Dragon Race   :   2W   0L   6D (100.0% for Heavy Metal, 2/8 decided)
             Heavy Metal vs Soft and Wet          :   0W   0L   8D (  0.0% for Heavy Metal, 0/8 decided)
             Heavy Metal vs Your Ass is Grass     :   6W   2L   0D ( 75.0% for Heavy Metal, 8/8 decided)
             Heavy Metal vs Brain Blast           :   3W   4L   1D ( 42.9% for Heavy Metal, 7/8 decided)
             Heavy Metal vs Disco Inferno         :   0W   8L   0D (  0.0% for Heavy Metal, 8/8 decided)
         Stop Bugging Me vs Electric Boogaloo     :   0W   7L   1D (  0.0% for Stop Bugging Me, 7/8 decided)
         Stop Bugging Me vs Fly Away Now          :   3W   2L   3D ( 60.0% for Stop Bugging Me, 5/8 decided)
         Stop Bugging Me vs Toxic Team            :   2W   6L   0D ( 25.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Rock Hard             :   3W   5L   0D ( 37.5% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs RuPauls Dragon Race   :   4W   4L   0D ( 50.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Soft and Wet          :   1W   1L   6D ( 50.0% for Stop Bugging Me, 2/8 decided)
         Stop Bugging Me vs Your Ass is Grass     :   8W   0L   0D (100.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Brain Blast           :   4W   4L   0D ( 50.0% for Stop Bugging Me, 8/8 decided)
         Stop Bugging Me vs Disco Inferno         :   0W   6L   2D (  0.0% for Stop Bugging Me, 6/8 decided)
       Electric Boogaloo vs Fly Away Now          :   2W   6L   0D ( 25.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Toxic Team            :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Rock Hard             :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs RuPauls Dragon Race   :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Soft and Wet          :   1W   0L   7D (100.0% for Electric Boogaloo, 1/8 decided)
       Electric Boogaloo vs Your Ass is Grass     :   3W   5L   0D ( 37.5% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Brain Blast           :   2W   6L   0D ( 25.0% for Electric Boogaloo, 8/8 decided)
       Electric Boogaloo vs Disco Inferno         :   0W   8L   0D (  0.0% for Electric Boogaloo, 8/8 decided)
            Fly Away Now vs Toxic Team            :   0W   1L   7D (  0.0% for Fly Away Now, 1/8 decided)
            Fly Away Now vs Rock Hard             :   0W   5L   3D (  0.0% for Fly Away Now, 5/8 decided)
            Fly Away Now vs RuPauls Dragon Race   :   6W   2L   0D ( 75.0% for Fly Away Now, 8/8 decided)
            Fly Away Now vs Soft and Wet          :   5W   0L   3D (100.0% for Fly Away Now, 5/8 decided)
            Fly Away Now vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for Fly Away Now, 8/8 decided)
            Fly Away Now vs Brain Blast           :   2W   2L   4D ( 50.0% for Fly Away Now, 4/8 decided)
            Fly Away Now vs Disco Inferno         :   4W   4L   0D ( 50.0% for Fly Away Now, 8/8 decided)
              Toxic Team vs Rock Hard             :   6W   1L   1D ( 85.7% for Toxic Team, 7/8 decided)
              Toxic Team vs RuPauls Dragon Race   :   1W   7L   0D ( 12.5% for Toxic Team, 8/8 decided)
              Toxic Team vs Soft and Wet          :   0W   0L   8D (  0.0% for Toxic Team, 0/8 decided)
              Toxic Team vs Your Ass is Grass     :   8W   0L   0D (100.0% for Toxic Team, 8/8 decided)
              Toxic Team vs Brain Blast           :   5W   3L   0D ( 62.5% for Toxic Team, 8/8 decided)
              Toxic Team vs Disco Inferno         :   1W   7L   0D ( 12.5% for Toxic Team, 8/8 decided)
               Rock Hard vs RuPauls Dragon Race   :   4W   4L   0D ( 50.0% for Rock Hard, 8/8 decided)
               Rock Hard vs Soft and Wet          :   1W   1L   6D ( 50.0% for Rock Hard, 2/8 decided)
               Rock Hard vs Your Ass is Grass     :   6W   2L   0D ( 75.0% for Rock Hard, 8/8 decided)
               Rock Hard vs Brain Blast           :   6W   0L   2D (100.0% for Rock Hard, 6/8 decided)
               Rock Hard vs Disco Inferno         :   8W   0L   0D (100.0% for Rock Hard, 8/8 decided)
     RuPauls Dragon Race vs Soft and Wet          :   3W   0L   5D (100.0% for RuPauls Dragon Race, 3/8 decided)
     RuPauls Dragon Race vs Your Ass is Grass     :   7W   1L   0D ( 87.5% for RuPauls Dragon Race, 8/8 decided)
     RuPauls Dragon Race vs Brain Blast           :   4W   1L   3D ( 80.0% for RuPauls Dragon Race, 5/8 decided)
     RuPauls Dragon Race vs Disco Inferno         :   3W   3L   2D ( 50.0% for RuPauls Dragon Race, 6/8 decided)
            Soft and Wet vs Your Ass is Grass     :   0W   0L   8D (  0.0% for Soft and Wet, 0/8 decided)
            Soft and Wet vs Brain Blast           :   0W   0L   8D (  0.0% for Soft and Wet, 0/8 decided)
            Soft and Wet vs Disco Inferno         :   4W   3L   1D ( 57.1% for Soft and Wet, 7/8 decided)
       Your Ass is Grass vs Brain Blast           :   8W   0L   0D (100.0% for Your Ass is Grass, 8/8 decided)
       Your Ass is Grass vs Disco Inferno         :   0W   8L   0D (  0.0% for Your Ass is Grass, 8/8 decided)
             Brain Blast vs Disco Inferno         :   0W   8L   0D (  0.0% for Brain Blast, 8/8 decided)

=== Per-team standings (Wilson 95% CI on decided games) ===
                    team    win%           95% CI     W/   L/   D  decided%
            Supa Fitingu   69.7%     [61.0, 77.3]    83/  36/  17   87.5%
     RuPauls Dragon Race   68.8%     [59.7, 76.6]    77/  35/  24   82.4%
           Disco Inferno   68.2%     [59.8, 75.6]    88/  41/   7   94.9%
             Heavy Metal   67.3%     [57.7, 75.7]    68/  33/  35   74.3%
             Spooky Team   65.0%     [55.4, 73.6]    67/  36/  33   75.7%
    I Believe In Fairies   59.0%     [50.1, 67.3]    72/  50/  14   89.7%
               Rock Hard   55.5%     [46.1, 64.4]    61/  49/  26   80.9%
              Toxic Team   55.4%     [46.1, 64.2]    62/  50/  24   82.4%
               Dork Team   54.2%     [45.3, 63.0]    64/  54/  18   86.8%
  Grounded Grounded Gro…   52.3%     [43.0, 61.6]    56/  51/  29   78.7%
         Stop Bugging Me   47.5%     [38.9, 56.3]    58/  64/  14   89.7%
            Fly Away Now   44.2%     [34.6, 54.2]    42/  53/  41   69.9%
             Brain Blast   41.0%     [32.0, 50.5]    43/  62/  31   77.2%
            Soft and Wet   38.9%     [24.8, 55.1]    14/  22/ 100   26.5%
       Your Ass is Grass   31.5%     [24.1, 40.0]    40/  87/   9   93.4%
     Totally Normal Team   27.0%     [19.3, 36.4]    27/  73/  36   73.5%
       Electric Boogaloo   24.0%     [17.4, 32.2]    30/  95/  11   91.9%
            Ice Ice Baby   22.5%     [15.7, 31.1]    25/  86/  25   81.6%

Note: Tera-suppressed (monotype rule). Move choices ending in '-tera' were filtered before each turn.
